shopName,name,carNumber,price,passengers,category
錦糸町,ヤリス,1111,1000,5,BC
錦糸町,フィット,1112,1000,5,BC
錦糸町,mazda2,1113,1000,5,BC
錦糸町,ソリオ,1114,1000,5,BC
錦糸町,フィット,1115,1000,5,BC
錦糸町,アクア,1118,1100,5,CH
錦糸町,ノート,1120,1100,5,CH
錦糸町,ヤリスクロス,3121,1200,5,CX
錦糸町,ライズ,3122,1200,5,CX
錦糸町,ヤリスクロス,3125,1200,5,CX
錦糸町,クロストレック,3126,1300,5,EX
錦糸町,イクリプスクロス,3129,1300,5,EX
錦糸町,イクリプスクロス,3133,1300,5,EX
錦糸町,シエンタ,2111,1600,6,LA
錦糸町,フリード,2112,1600,6,LA
錦糸町,シエンタ,2113,1600,6,LA
錦糸町,セレナ,2114,1700,8,PB
錦糸町,デリカ,2117,1700,8,PB
錦糸町,ノア,2120,1700,8,PB
錦糸町,キャラバン,4111,1500,5,VA
錦糸町,ハイエース,4112,1500,5,VA
錦糸町,キャラバン,4113,1500,5,VA
錦糸町,ハイエース,4114,1500,5,VA
錦糸町,デュトロ,4115,2000,3,TC
錦糸町,エルフ,4116,2000,3,TC
錦糸町,デュトロ,4117,2000,3,TC
亀戸,ヤリス,1116,1000,5,BC
亀戸,ヤリス,1117,1000,5,BC
亀戸,アクア,1119,1200,5,CH
亀戸,ヤリスクロス,3123,1200,5,CX
亀戸,ライズ,3124,1200,5,CX
亀戸,クロストレック,3127,1300,5,EX
亀戸,イクリプスクロス,3128,1300,5,EX
亀戸,セレナ,2115,1700,8,PB
亀戸,デリカ,2116,1700,8,PB
亀戸,シエンタ,2118,1600,6,LA
亀戸,ノア,2119,1700,8,PB
亀戸,キャラバン,4118,1500,5,VA
亀戸,ハイエース,4119,1500,5,VA
スカイツリー,ヤリス,1121,1000,5,BC
スカイツリー,フィット,1122,1000,5,BC
スカイツリー,ノート,1123,1000,5,BC
スカイツリー,ヤリスクロス,3141,1200,5,CX
スカイツリー,クロストレック,3142,1300,5,EX
スカイツリー,ライズ,3145,1200,5,CX
スカイツリー,イクリプスクロス,3146,1300,5,EX
スカイツリー,シエンタ,2140,1600,6,LA
スカイツリー,セレナ,2121,1700,8,PB
スカイツリー,セレナ,2122,1700,8,PB
スカイツリー,デリカ,2123,1700,8,PB
葛西,ヤリス,1124,1000,5,BC
葛西,フィット,1125,1000,5,BC
葛西,ノート,1126,1000,5,BC
葛西,ヤリスクロス,3143,1200,5,CX
葛西,クロストレック,3144,1300,5,EX
葛西,ライズ,3130,1200,5,CX
葛西,イクリプスクロス,3131,1300,5,EX
葛西,シエンタ,2124,1600,6,LA
葛西,セレナ,2125,1700,8,PB
葛西,デリカ,2126,1700,8,PB
葛西,デュトロ,4120,2000,3,TC
葛西,エルフ,4121,2000,3,TC
葛西,デュトロ,4122,2000,3,TC
